Exercicio;UP_Cod;UP_Sigla;Programa_Cod;titulo_programa_45;Objetivo;Acao_Cod;titulo_acao_45;Finalidade;Produto_Cod;Produto_Titulo_80;Produto_Unid_de_Medida_45;meta_adequada;realizado_exercicio;porcentagem;Periodo;liquidacao;liquidacao_total_quad;Liquidacao_Atual;status;chave1;chave2
2020;1010;ALERJ;136;Gestão Legislativa; Atender aos Municípios e Órgãos do Estado através de recursos financeiros e materiais.;4617;FÓRUM PERM MULHERES NEGRAS MARIELLE FRANCO;VIABILIZAR A OPERACIONALIZAÇÃO DO FÓRUM PERMANENTE DE DIÁLOGO COM AS MULHERES NEGRAS DO ESTADO DO RIO DE JANEIRO VEREADORA MARIELLE FRANCO, OBJETO DA RESOLUÇÃO N°. 396 DE 2017.;4697;Fórum realizado;unidade;1.00;1.00;1.000000;3º Quadrimestre;0;0;0;concluída ou acima da meta;20200136461746973º Quadrimestre;2,02001E+11
2020;1010;ALERJ;136;Gestão Legislativa; Atender aos Municípios e Órgãos do Estado através de recursos financeiros e materiais.;4621;FÓRUM PERMANENTE DESENVOLVIMENTO ESTRATÉGICO;A PRESENTE AÇÃO TEM POR FINALIDADE A OPERACIONALIZAÇÃO DO FÓRUM PERMANENTE DE DESENVOLVIMENTO ESTRATÉGICO DO ESTADO DO RIO DE JANEIRO, PARA VIABILIZAR EVENTOS, ENCONTROS, REUNIÕES, AUDIÊNCIAS NO INTERIOR DO ESTADO, BEM COMO A PARTICIPAÇÃO EM EVENTOS DENTRO E FORA DO PAÍS, ONDE TEMAS DE RELEVÂNCIA PARA O DESENVOLVIMENTO RIO DE JANEIRO ESTARÃO EM DEBATE.;4697;Fórum realizado;unidade;1.00;0.50;0.500000;3º Quadrimestre;0;0;0;com realização;20200136462146973º Quadrimestre;2,02001E+11
2020;1010;ALERJ;136;Gestão Legislativa; Atender aos Municípios e Órgãos do Estado através de recursos financeiros e materiais.;5403;Ampliação, Reforma e Modern das Instal ALERJ;Modernizar a Assembléia Legislativa do Estado do Rio de Janeiro através da reforma e da ampliação de suas instalações, tornando-a mais funcional.  ;5760;Unidade administrativa atendida com reparos;unidade;4.00;1.00;0.250000;3º Quadrimestre;0;0;0;com realização;20200136540357603º Quadrimestre;2,02001E+11
2020;1010;ALERJ;136;Gestão Legislativa; Atender aos Municípios e Órgãos do Estado através de recursos financeiros e materiais.;5403;Ampliação, Reforma e Modern das Instal ALERJ;Modernizar a Assembléia Legislativa do Estado do Rio de Janeiro através da reforma e da ampliação de suas instalações, tornando-a mais funcional.  ;5821;Unidade administrativa atendida com equipamentos;unidade;4.00;1.00;0.250000;3º Quadrimestre;0;0;0;com realização;20200136540358213º Quadrimestre;2,02001E+11
2020;1010;ALERJ;136;Gestão Legislativa; Atender aos Municípios e Órgãos do Estado através de recursos financeiros e materiais.;8346;Transf. de Rec. ao Estado e aos Municípios;Recuperar áreas urbanas , Municípios atingidos por catástrofes através de doação, descentralização de recursos e atender aos Órgãos do Estados com dificuldade financeira.;5828;Benefício concedido ao orgão estadual;unidade;25.00;0.00;0.000000;3º Quadrimestre;0;0;0;sem realização;20200136834658283º Quadrimestre;2,02001E+11
2020;1010;ALERJ;136;Gestão Legislativa; Atender aos Municípios e Órgãos do Estado através de recursos financeiros e materiais.;2301;Capacitação e Valorização dos Servid da ALERJ;Promover o desenvolvimento técnico e gerencial dos servidores da ALERJ, com recursos materiais  e humanos por meio de convênios com outros Órgãos e Entidades. ;7478;PROG PREVENÇÃO, CAPACITAÇÃO E ENFRENTAMENTO PERMANENTE AO RACISMO INSTITUÍDO;unidade;2.00;1.00;0.500000;3º Quadrimestre;0;0;0;com realização;20200136230174783º Quadrimestre;2,02001E+11
2020;1010;ALERJ;136;Gestão Legislativa; Atender aos Municípios e Órgãos do Estado através de recursos financeiros e materiais.;8346;Transf. de Rec. ao Estado e aos Municípios;Recuperar áreas urbanas , Municípios atingidos por catástrofes através de doação, descentralização de recursos e atender aos Órgãos do Estados com dificuldade financeira.;4428;Benefício financeiro concedido a município;unidade;20.00;2.50;0.125000;3º Quadrimestre;0;0;0;com realização;20200136834644283º Quadrimestre;2,02001E+11
2020;1010;ALERJ;136;Gestão Legislativa; Atender aos Municípios e Órgãos do Estado através de recursos financeiros e materiais.;2301;Capacitação e Valorização dos Servid da ALERJ;Promover o desenvolvimento técnico e gerencial dos servidores da ALERJ, com recursos materiais  e humanos por meio de convênios com outros Órgãos e Entidades. ;2148;Capacitação realizada;unidade;30.00;2.00;0.066667;3º Quadrimestre;0;0;0;com realização;20200136230121483º Quadrimestre;2,02001E+11
2020;1010;ALERJ;136;Gestão Legislativa; Atender aos Municípios e Órgãos do Estado através de recursos financeiros e materiais.;2301;Capacitação e Valorização dos Servid da ALERJ;Promover o desenvolvimento técnico e gerencial dos servidores da ALERJ, com recursos materiais  e humanos por meio de convênios com outros Órgãos e Entidades. ;4506;Curso de pós-graduação lato sensu realizado;unidade;2.00;0.00;0.000000;3º Quadrimestre;0;0;0;sem realização;20200136230145063º Quadrimestre;2,02001E+11
2020;1010;ALERJ;136;Gestão Legislativa; Atender aos Municípios e Órgãos do Estado através de recursos financeiros e materiais.;2301;Capacitação e Valorização dos Servid da ALERJ;Promover o desenvolvimento técnico e gerencial dos servidores da ALERJ, com recursos materiais  e humanos por meio de convênios com outros Órgãos e Entidades. ;5209;Curso de pós-graduação stricto sensu realizado;unidade;1.00;0.00;0.000000;3º Quadrimestre;0;0;0;sem realização;20200136230152093º Quadrimestre;2,02001E+11
